,principal component 1,principal component 2,cuisine,recipeName
0,-0.39233886034593585,-0.04388221518618255,spanish,Easy Seafood Paella
1,0.768224322939787,0.3607357364612883,spanish,Spanish-style Garlic Shrimp
2,-0.7806387175507964,0.3127196172190954,spanish,Classic Paella
3,-0.8023103306069481,0.38442540007344195,spanish,One Pot Spanish Chicken and Rice
4,-0.7203889942773851,0.3127647138408202,spanish,Portuguese Fish Stew
5,-0.27737305228482817,0.5445989310378282,spanish,Portuguese Seafood Stew
6,0.42103476306251614,0.10212176342362039,spanish,Spanish Chicken with Chorizo and Potatoes
7,-0.8875172275098702,0.21137460452696916,spanish,Mushroom Paella
8,0.22762741848121285,0.2122987548418149,spanish,Spanish Chicken with Chorizo and Potatoes
9,-0.8875172275098698,0.2113746045269692,spanish,Spanish-Style Chicken with Saffron Rice (Arroz con Pollo)
10,0.9256627600043316,0.10460537817680461,spanish,Mexican Chorizo + Garlic Shrimp Burger
11,0.8498348219176053,-0.0370153598206411,spanish,Spanish Migas
12,-0.2213950369601526,0.5886348069077558,spanish,Paella
13,-0.32798093218481983,-0.4105906962744146,spanish,Spanish Chicken Stew
14,0.421034763062516,0.10212176342362021,spanish,Spanish Chicken with Chorizo and Potatoes
15,-0.7340519066917244,-0.013929651353563359,spanish,Tomato Paella with Chorizo
16,-0.8023103306069483,0.38442540007344195,spanish,Prawn And Chorizo Paella
17,0.4210347630625161,0.10212176342362027,spanish,SPANISH CHICKEN WITH CHORIZO AND POTATOES
18,0.2754239262715502,0.04968786791475004,spanish,Spanish Shrimp
19,-0.7317855438571874,0.5619584860555411,spanish,Spanish Rice With Chicken
20,-0.9119282525653581,-0.02354337132730547,spanish,One-Skillet Healthy Paella
21,-0.8347304068924063,0.20513383790469547,spanish,Spanish Chicken and Rice
22,0.5727719571270399,-0.09970874895155168,spanish,Quick Paella
23,-0.7094007113872371,0.1607932512254145,spanish,Spanish Chicken with Chorizo and Potatoes
24,0.6291559913264925,0.7050392255995802,spanish,Quinoa Chorizo Paella
25,-0.8875172275098697,0.21137460452696946,spanish,Lentejas Caseras ~ Traditional Spanish Lentils
26,-0.5454675781647521,0.5442402612284925,spanish,Vegetarian Paella
27,0.48162002028702855,0.7822188796732957,spanish,Simple Vegan Spanish Rice with Chorizo
28,-0.6235220569744859,0.38215694008001777,spanish,Spanish Chicken & Bean Stew
29,-0.8023103306069482,0.3844254000734419,spanish,Chicken & Shrimp Orzo Paella
30,0.2275818547471496,-0.04884222491347995,spanish,Shrimp and Chorizo Paella
31,0.02532080595425419,0.6318318232234051,spanish,"Pulpo Gallego, Spanish Octopus with Paprika"
32,0.3217541799814425,-0.8451726608556498,spanish,Spanish Baked Chicken
33,-0.2739696979323208,0.6374304085382749,spanish,Seafood Paella
34,0.6855440147044697,0.13153893069742198,spanish,Spanish Omelette With Chorizo And Sweet Potato
