,index,Weight
195,chive,5.1997628796775786
196,squash,5.1997628796775786
197,tofu,5.205559997361905
198,spanish,5.217256037125096
199,caper,5.229090494772099
200,loin,5.235060661758602
201,salmon,5.235060661758602
202,stew,5.247109000274778
203,fennel,5.253188046351159
204,thai,5.2593042733685955
205,plum,5.2593042733685955
206,chinese,5.2593042733685955
207,small,5.265458138942974
208,balsamic,5.265458138942974
209,root,5.265458138942974
210,peppers,5.284150271955126
211,mix,5.29680866882705
212,pitted,5.316101871761728
213,finely,5.322616552782923
214,cauliflower,5.329173953329081
215,steaks,5.329173953329081
216,chops,5.329173953329081
217,coarse,5.335774637360434
218,spaghetti,5.362621887396622
219,sirloin,5.383241174599357
220,gold,5.390209843915451
221,hoisin,5.397227416574097
222,jack,5.404294583797189
223,slice,5.418580541044666
224,sprigs,5.425800789018153
225,flank,5.440399588439306
226,shiitake,5.440399588439306
227,mussel,5.455214674224447
228,apricot,5.462705345953604
229,brisket,5.462705345953604
230,pur,5.470252551588987
231,chilies,5.477857150974207
232,russet,5.485520023719776
233,clam,5.485520023719776
234,swiss,5.493242069813686
235,miso,5.493242069813686
236,button,5.501024210255741
237,sriracha,5.501024210255741
238,fillets,5.51677256722388
239,fat,5.524740736873057
240,sage,5.540870118802941
241,roll,5.540870118802941
242,puff,5.540870118802941
243,pita,5.540870118802941
244,lowfat,5.549033429442101
245,firm,5.549033429442101
246,taco,5.5572639285786165
247,lentil,5.573930981063828
248,ricotta,5.599464283068993
249,shaoxing,5.599464283068993
250,yukon,5.608122345812108
251,pearl,5.608122345812108
252,sodium,5.616856025780862
253,boiling,5.616856025780862
254,artichoke,5.625666655463017
255,round,5.625666655463017
256,olives,5.625666655463017
257,veal,5.634555602880264
258,yolks,5.634555602880264
259,spring,5.643524272863024
260,salad,5.652574108382942
261,arbio,5.652574108382942
262,spice,5.652574108382942
263,quinoa,5.661706591946214
264,pimento,5.680225639713452
265,mixed,5.689615380063291
266,flet,5.689615380063291
267,parsnip,5.699094124017835
268,canned,5.708663575033985
269,thigh,5.708663575033985
270,brat,5.718325485945722
271,longgrain,5.718325485945722
272,english,5.728081660891087
273,leg,5.737933957334098
274,marjam,5.737933957334098
275,long,5.737933957334098
276,basmati,5.737933957334098
277,hamburger,5.737933957334098
278,granulated,5.737933957334098
279,enchilada,5.747884288187267
280,bun,5.757934624040768
281,gruyere,5.778343495671975
282,chunks,5.788706282707522
283,ghee,5.809759691905354
284,mashed,5.809759691905354
285,tarragon,5.820454981022102
286,grape,5.831265897126317
287,halves,5.831265897126317
288,cubes,5.842194967658508
289,wedges,5.842194967658508
290,halve,5.853244803845093
291,serrano,5.853244803845093
292,preserved,5.864418104443218
293,cremini,5.864418104443218
