,recipeName,cuisine,piquant,meaty,bitter,sweet,sour,salty
0,Easy Seafood Paella,spanish,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666
1,Spanish-style Garlic Shrimp,spanish,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.8333333333333334
2,Classic Paella,spanish,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666
3,One Pot Spanish Chicken and Rice,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
4,Portuguese Fish Stew,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333
5,Portuguese Seafood Stew,spanish,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
6,Spanish Chicken with Chorizo and Potatoes,spanish,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.5,0.5
7,Mushroom Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
8,Spanish Chicken with Chorizo and Potatoes,spanish,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.5
9,Spanish-Style Chicken with Saffron Rice (Arroz con Pollo),spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
10,Mexican Chorizo + Garlic Shrimp Burger,spanish,0.5,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.5,0.8333333333333334
11,Spanish Migas,spanish,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.8333333333333334
12,Paella,spanish,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.5
13,Spanish Chicken Stew,spanish,0.5,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
14,Spanish Chicken with Chorizo and Potatoes,spanish,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.5,0.5
15,Tomato Paella with Chorizo,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666
16,Prawn And Chorizo Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
17,SPANISH CHICKEN WITH CHORIZO AND POTATOES,spanish,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.5,0.5
18,Spanish Shrimp,spanish,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.5,0.5
19,Spanish Rice With Chicken,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
20,One-Skillet Healthy Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666
21,Spanish Chicken and Rice,spanish,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
22,Quick Paella,spanish,0.8333333333333334,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666
23,Spanish Chicken with Chorizo and Potatoes,spanish,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
24,Quinoa Chorizo Paella,spanish,0.8333333333333334,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.8333333333333334
25,Lentejas Caseras ~ Traditional Spanish Lentils,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
26,Vegetarian Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.5
27,Simple Vegan Spanish Rice with Chorizo,spanish,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
28,Spanish Chicken & Bean Stew,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5
29,Chicken & Shrimp Orzo Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
30,Shrimp and Chorizo Paella,spanish,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
31,"Pulpo Gallego, Spanish Octopus with Paprika",spanish,0.5,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.16666666666666666
32,Spanish Baked Chicken,spanish,0.0,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
33,Seafood Paella,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
34,Spanish Omelette With Chorizo And Sweet Potato,spanish,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.6666666666666666
35,Easy Shrimp Paella,spanish,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
36,Spanish Croquetas,spanish,0.0,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666
37,Spanish Chicken and Rice,spanish,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666
38,Lemon-Garlic Spanish Chicken Thighs and Rice Pilaf,spanish,0.5,0.5,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666
39,Spanish Style Garlic Shrimp,spanish,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333
40,Spanish Fish in Saffron Sauce,spanish,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
41,Chicken with Rice Spanish Style - Arroz con Pollo,spanish,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666
42,Spanish Chicken,spanish,0.6666666666666666,0.8333333333333334,0.5,0.16666666666666666,0.6666666666666666,0.6666666666666666
43,Spaghetti with Chorizo and Almonds,spanish,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
44,Spanish Tortilla,spanish,0.0,0.16666666666666666,0.5,0.16666666666666666,0.6666666666666666,0.5
45,Spanish-style Chicken Bake,spanish,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666
46,Easy Paella,spanish,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.5,0.6666666666666666
47,EASY SPANISH PAELLA,spanish,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
48,Easy Chicken Chorizo Paella,spanish,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334
49,Easy 30-Minute Spanish Paella,spanish,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,0.3333333333333333
50,Spanish Chicken with Chorizo and Potatoes,spanish,0.8333333333333334,0.8333333333333334,0.5,0.16666666666666666,0.5,0.5
51,Spanish Garlic Shrimp with Paprika Tapas,spanish,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.6666666666666666
52,Spanish Paella,spanish,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666
53,Quick Paella,spanish,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.8333333333333334,0.8333333333333334
54,One Pan Spanish Chicken,spanish,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.5,0.16666666666666666
55,Spicy Spanish Clams,spanish,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.16666666666666666
56,Mini Paella,spanish,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
